book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
40;5;Geurt;1;1;99;1;99;99;99;99
40;6;Judith;2;1;3;1;3;1;99;99
40;7;Van Moorselaar;1;1;99;1;3;6;99;winkelier
40;8;Netta;2;1;99;1;3;3;99;99
40;9;Luttink;1;1;99;1;3;99;1;dokter
40;10;Trijntjemeut;2;1;99;1;3;3;99;99
40;11;Steven-om;1;1;3;1;3;3;99;99
40;12;Arie;1;1;3;1;3;1;99;99
40;13;Marius;1;1;3;1;3;1;99;99
41;1;Holly;2;2;99;99;99;99;2;99
41;2;Heather;2;2;99;99;99;99;2;99
41;3;Todi;2;99;99;99;99;4;99;99
41;4;vader;1;99;99;99;99;4;99;99
42;1;Nick;2;4;99;4;6;1;2;kraker/decorateur
42;2;Verena;2;3;99;4;99;1;1;dichter
42;3;Harm;1;99;99;4;6;2;99;kunstenaar
42;4;Parker;1;99;99;4;6;99;2;tuinman/crimineel
42;5;Tommy;1;99;99;4;6;99;1;student
42;6;Muriel;2;99;99;4;99;1;1;kunstenaar
42;7;Zadok;1;99;99;4;99;1;1;student
42;8;Bronx;1;99;99;4;99;2;1;verzamelaar
42;9;Peter;1;99;99;4;99;1;99;99
42;10;Bestman;1;99;99;99;99;99;1;rechter
42;11;Henry;1;99;99;4;99;99;99;drugdealer
42;12;Natasha;2;99;99;4;99;1;99;99
42;13;Hugo;1;99;99;4;99;99;1;filosoof
42;14;Adam;1;99;99;4;99;1;1;filosoof
42;15;Tilly;2;99;99;4;99;99;99;99
43;1;Laura;1;1;3;1;3;4;1;columnist
43;2;Rudolf;1;1;3;1;3;4;1;manager
43;3;Eileen;2;1;99;1;99;2;2;administratief medewerker
43;4;Klara;2;1;99;1;99;3;1;psycholoog
43;5;Paul;1;1;99;1;99;4;1;directeur
43;6;Tijmen;1;1;99;1;3;5;1;docent/hoofdredacteur
43;7;Siem;1;1;99;1;99;4;1;verzekeringsagent
43;8;Valerie;2;1;99;1;3;1;99;99
43;9;Walter;1;1;99;1;99;4;99;internaat begeleider
43;10;Ezechiël;1;1;99;1;99;99;99;99
43;11;Daniëlle;2;1;99;1;3;2;99;galerie medewerker
43;12;Christien;2;1;99;1;3;4;99;99
43;13;Kato;1;6;99;1;1;5;99;docent
44;1;ik;1;1;3;1;3;4;1;schrijver
44;2;Het-Meisje-met-de-mooiste-heupen;2;99;99;1;3;2;1;kunstenaar
44;3;Oppergod David;1;1;3;99;99;99;99;99
44;4;M'n oude vriend 't dode dichtertje;1;99;99;99;99;99;1;dichter
44;5;moeder;2;1;99;1;3;99;99;99
44;6;Het Rooibosvrouwtje;2;99;99;99;99;99;99;99
45;1;Johan;1;6;3;1;1;3;1;student/kunstenaar/caberatier/president
45;2;Arno;1;1;99;1;1;1;1;student/campagnemedewerker
45;3;Virginia;2;6;12;1;2;6;99;model/psychiatrieverpleegkundige
45;4;Jan;1;1;2;1;2;99;99;99
45;5;Willem;1;1;99;1;1;99;1;filmmaker
45;6;Elin;2;1;99;1;1;1;1;student
45;7;Mila;2;1;99;1;1;99;99;99
45;8;Jack;1;1;99;99;99;5;1;burgemeester
45;9;Sophie;2;1;99;1;1;3;1;campagnemedewerker
